full_name;sex;birth_year;city;country;continent;occupation;industry;domain;article_languages;page_views;average_views;historical_popularity_index
Abraham;Male;-1800;Other;Unknown;;Religious Figure;Religion;Institutions;105;17824676;169759;306.047
Aristotle;Male;-384;Stageira;Greece;Europe;Philosopher;Philosophy;Humanities;152;56355172;370758;319.938
Plato;Male;-427;Athens;Greece;Europe;Philosopher;Philosophy;Humanities;142;46812003;329662;319.888
Jesus Christ;Male;-4;Judea;Israel;Asia;Religious Figure;Religion;Institutions;214;60299092;281771;318.981
Socrates;Male;-469;Athens;Greece;Europe;Philosopher;Philosophy;Humanities;137;40307143;294213;316.521
Alexander the Great;Male;-356;Pella;Greece;Europe;Military Personnel;Military;Institutions;138;48358148;350421;31.584
Leonardo da Vinci;Male;1452;Vinci;Italy;Europe;Inventor;Invention;Science & Technology;174;88931135;511098;314.644
Confucius;Male;-551;Qufu;China;Asia;Philosopher;Philosophy;Humanities;192;22363652;116477;313.705
Julius Caesar;Male;-100;Rome;Italy;Europe;Politician;Government;Institutions;128;43088745;336631;311.161
Homer;Male;-800;Smyrna;Turkey;Europe;Writer;Language;Humanities;141;20839405;147797;311.087
Pythagoras;Male;-570;Samos Island;Greece;Europe;Philosopher;Philosophy;Humanities;114;26168219;229546;310.691
Archimedes;Male;-287;Syracuse;Italy;Europe;Mathematician;Math;Science & Technology;129;22022077;170714;309.907
Moses;Male;-1391;Wadi Tumilat;Egypt;Africa;Religious Figure;Religion;Institutions;115;21880195;190263;308.632
Muhammad;Male;570;Mecca;Saudi Arabia;Asia;Religious Figure;Religion;Institutions;150;43026648;286844;30.65
Abraham;Male;-1800;Other;Unknown;;Religious Figure;Religion;Institutions;105;17824676;169759;306.047
Adolf Hitler;Male;1889;Braunau am Inn;Austria;Europe;Politician;Government;Institutions;169;17824676;759579;305.778
Wolfgang Amadeus Mozart;Male;1756;Salzburg;Austria;Europe;Composer;Music;Arts;177;51363334;290188;305.146
Charlemagne;Male;742;Liège;Belgium;Europe;Politician;Government;Institutions;116;26626252;229537;304.837
William Shakespeare;Male;1564;Stratford-upon-Avon;United Kingdom;Europe;Writer;Language;Humanities;163;74882297;459401;304.398
Michelangelo;Male;1475;Caprese Michelangelo;Italy;Europe;Painter;Fine Arts;Arts;158;39992803;253119;304.383
Augustus;Male;-63;Rome;Italy;Europe;Politician;Government;Institutions;117;20307663;173570;304.195
Napoleon Bonaparte;Male;1769;Corsica;France;Europe;Politician;Government;Institutions;145;57559307;396961;303.263
Isaac Newton;Male;1642;Woolsthorpe-by-Colsterworth;United Kingdom;Europe;Physicist;Natural Sciences;Science & Technology;191;59909049;313660;302.889
Albert Einstein;Male;1879;Ulm;Germany;Europe;Physicist;Natural Sciences;Science & Technology;166;89771090;540790;302.106
Christopher Columbus;Male;1451;Genoa;Italy;Europe;Explorer;Explorers;Exploration;153;58442090;381974;301.753
Johann Sebastian Bach;Male;1685;Eisenach;Germany;Europe;Composer;Music;Arts;144;29753654;206623;301.672
Dante Alighieri;Male;1265;Florence;Italy;Europe;Writer;Language;Humanities;137;20540747;149932;301.496
Ludwig van Beethoven;Male;1770;Bonn;Germany;Europe;Composer;Music;Arts;153;48132344;314590;301.093
Gautama Buddha;Male;-563;Lumbini;Nepal;Asia;Philosopher;Philosophy;Humanities;124;23685332;191011;300.418
Cleopatra VII of Egypt;Female;-69;Alexandria;Egypt;Africa;Politician;Government;Institutions;100;18849501;188495;300.367
Martin Luther;Male;1483;Eisleben;Germany;Europe;Religious Figure;Religion;Institutions;125;35167994;281344;300.311
Galileo Galilei;Male;1564;Pisa;Italy;Europe;Astronomer;Natural Sciences;Science & Technology;146;48254299;330509;29.96
Herodotus;Male;-484;Halicarnassus;Turkey;Asia;Historian;History;Humanities;103;9703065;94205;299.592
Paul of Tarsus;Male;5;Tarsus;Turkey;Asia;Religious Figure;Religion;Institutions;100;15781652;157817;298.889
Augustine of Hippo;Male;354;Souk Ahras;Algeria;Africa;Philosopher;Philosophy;Humanities;105;17433781;166036;298.872
Euclid;Male;-325;Other;Unknown;;Mathematician;Math;Science & Technology;117;10896731;93134;298.846
Virgil;Male;-70;Mantua;Italy;Europe;Writer;Language;Humanities;114;9154149;80300;298.811
Nero;Male;37;Anzio;Italy;Europe;Politician;Government;Institutions;79;18309769;231769;298.599
Thales;Male;-635;Miletus;Turkey;Asia;Philosopher;Philosophy;Humanities;84;14460625;172150;298.485
